intent	dialog
atis_flight	 show delta airlines flights from jfk to miami
atis_airfare	What is the cost of a one day trip from Detroit to St. Pete, Missouri?
atis_flight	 list flights from phoenix arizona to ontario california wednesday
atis_flight	 i would like to leave thursday morning from indianapolis to toronto
atis_flight	 show flights from minneapolis to kansas city
atis_flight	 saturday flight on american airlines from milwaukee to phoenix
atis_flight	 i need a flight departing from milwaukee to indianapolis leaving monday before 8 am
atis_flight	 what flights depart from baltimore and arrive at san francisco on a friday
atis_airline	Which airline is america?
atis_airline	What airline is our government?
atis_flight	 get flight from toronto to san diego stopping at dtw
atis_flight	 list all of the daily flights arriving in denver between 8 and 9 pm
atis_flight	 show me all the flights from charlotte to minneapolis that leave at 2 pm or later on monday
atis_flight	 how about a flight from milwaukee to st. louis that leaves monday night
atis_flight	 please list the flights from nashville to memphis on monday morning
atis_abbreviation	 what does fare code h mean
atis_ground_service	 is there ground transportation available at the salt lake city airport
atis_abbreviation	What does m mean?
atis_flight	 what are the flights between milwaukee and pittsburgh
atis_flight	 find a flight from tampa to montreal by way of new york
atis_flight	 list flights from newark to boston daily
atis_flight	 which flights leave newark after noon next saturday and arrive in los angeles
atis_ground_service	Does anyone want to get in Boston late night for ground transportation? How?
atis_airline	 what airline is hp
atis_flight	 baltimore to newark wednesday morning
atis_flight	 show me first class flights from new york to miami round trip
atis_flight	 what united airlines flights on june eighth go from westchester county to cincinnati
atis_flight	 i need flight information for flights departing from cleveland to milwaukee on wednesday after 5 pm
atis_airfare	What are the flights between Washington DC and Boston?
atis_ground_service	List ground transportation in baltimore.
atis_ground_service	Is there ground transportation from the memphis airport into town when i arrive at 842 in the morning?
atis_abbreviation	"What does the abbreviation ""us"" stand for?"
atis_airline	What airlines offer flights to and from Denver?
atis_flight	 show me the flights on american airlines which go from st. petersburg to ontario california by way of st. louis
atis_ground_service	How are the daily flights to Phoenix from Nashville to New York from there?
atis_airline	Is there a flight to Denver available with airline?
atis_abbreviation	What is the meaning of fare code y?
atis_flight	 list flights from ontario california to salt lake city utah monday
atis_flight	 please show me first class flights from indianapolis to memphis one way leaving before 10 am
atis_abbreviation	What do fare codes f mean?
atis_airfare	Best airfare from Indianapolis to Memphis first class economy class.
atis_flight	 i'd like to fly from miami to chicago on on american airlines arriving around 5 pm
atis_airline	What is the Dlc airlines?
atis_flight	 show me nonstop flights from st. petersburg to toronto
atis_ground_service	Is there ground transportation from GTA to New York City?
atis_flight	 can i get a flight on tuesday night from washington dc to oakland
atis_flight	 pittsburgh to los angeles thursday evening
atis_flight	 show me all flights from orlando to montreal please
atis_flight	 give me the flights from chicago to seattle on continental that have meals early saturday morning
atis_abbreviation	What is a d9s sensor?
atis_flight	 on june eighth what flights go from westchester county to cincinnati
atis_flight	 what is the earliest arriving flight from boston to washington dc
atis_ground_service	Does TATACOMA airport offer transportation to the downtown area?
atis_flight	 i want to book a flight from salt lake city to westchester county
atis_airline	What airlines fly between Salt Lake City and Seattle?
atis_flight	 find flight from memphis to cincinnati on sunday
atis_flight	 could i have flight information on flights from salt lake city to phoenix please
atis_flight	 list flights from pittsburgh to newark daily
atis_flight	 which flights depart from new york and arrive in los angeles after 10 am
atis_airfare	faqs get Saturday fares from washington to toronto, from saturdays. get saturday fares from san francisco.
atis_flight	 give me the flights and fares for a trip to cleveland from miami on wednesday
atis_airfare	 list first class airfare round trip from indianapolis to memphis
atis_airline	 i would like to have the airline that flies toronto detroit and st. louis
atis_airfare	How many seats are available from Las Vegas to Detroit?
atis_flight	 i need a flight from memphis to tacoma that goes through los angeles
atis_flight	 show me the flights between milwaukee and indiana
atis_flight	 monday morning i would like to fly from columbus to indianapolis
atis_flight	 list early morning flights from cincinnati to tampa
atis_abbreviation	What is fare code?
atis_flight	 please find a flight from ontario to westchester that makes a stop in chicago on may seventeenth one way with dinner
atis_flight	 on friday night i would like a flight from newark to los angeles
atis_airfare	 what is the lowest fare from bwi to salt lake city
atis_ground_service	What types of ground transportation are available in Denver?
atis_airline	 what airline flies from boston to san diego
atis_airfare	 get the saturday fare from washington to toronto
atis_flight	 find me all the flights from milwaukee to st. louis
atis_abbreviation	What does fare code f of U.S. Airlines mean?
atis_airfare	On my first visit i need a ticket from tacoma to san jose departing at 7 am. at the airport there are 3 flights. on the 6th i depart before 7 am. on the 27th it takes me five minutes less than scheduled. The ticket must be over 5 days.
atis_flight	 i would like flights from san francisco to long beach
atis_airfare	Show me the cheapest round trip fare from san francisco to houston on february twenty eighth 1994 - 1994. show me the best round trip fare from houston to san francisco or san francisco to houston on february twenty eighth 1994.
atis_flight	 i want a flight from los angeles to charlotte early in the morning
atis_airline	What are the airlines that fly out of Boston from Boston?
atis_airfare	I need a taxi from Seattle to Cleveland next morning. I want to get a flat rate taxi from miami to cleveland. give me the fares.
atis_flight	 list flights from pittsburgh to newark on monday morning
atis_flight	 which flights are available on april twenty first in the morning from nashville to tacoma
atis_flight	 show flights from kansas city to minneapolis
atis_abbreviation	What does a fare code mean?
atis_airline	What airlines fly from Tampa to San Francisco?
atis_ground_service	Now show me ground transportation that i could get in boston late night.
atis_airfare	How many airlines serviced Washington to Boston?
atis_flight	 list all flights from kansas city to cleveland
atis_abbreviation	What does the restriction AP58 means?
atis_airline	What are some flights between burbank, milwaukee and st. louis, and from st. louis to burbank?
atis_flight	 now show me all the flights from st. louis to burbank
atis_flight	 please find a flight from detroit michigan to st. petersburg arriving before 10 pm
atis_ground_service	I'll need to rent a car in washington DC. i can just drive around town or drive on the beach and drive to a nearby parking lot.
atis_flight	 monday morning flights from atlanta to kansas city
atis_flight	 list flights from ontario california to orlando
atis_airfare	How much airfare is $29 to get from Washington to Montréal?
atis_flight	 show me all the morning flights from philadelphia to fort worth
atis_flight	 list flights from milwaukee to detroit
atis_flight	 list flights from salt lake city to phoenix arizona tuesday
atis_airline	Show me airlines that have flights between Toledo and Detroit between Toledo and St. Louis. also between St. Louis and St. Louis.
atis_flight	 i need a flight from st. louis to charlotte
atis_ground_service	What is the best way to get from and/or from EWR to NY?
atis_ground_service	 what ground transportation is there in baltimore
atis_ground_service	 what ground transportation is available at denver
atis_abbreviation	What does a fare code mean?
atis_airline	Which airlines fly from Miami to San Francisco?
atis_flight	 find flight from cincinnati to san jose on monday
atis_abbreviation	What is fare code in m.rs?
atis_airfare	What is the cheapest fare from Charlotte to Las Vegas?
atis_flight	 list us air flights leaving saturday from charlotte airport around 1 pm
atis_flight	 what are the flights from cleveland to dallas
atis_flight	 st. petersburg to detroit
atis_airfare	How much would it cost to fly with TWA-Wisconsin from Denver to Chicago?
atis_abbreviation	"What does ""ap 57"" mean?"
atis_flight	 show me flights between toronto and san diego
atis_flight	 what flights arrive at love field on june sixth
atis_ground_service	So far in 2017 we have 226 operators of ground transportation in Las Vegas.
atis_flight	 memphis to las vegas sunday afternoon
atis_flight	 please list afternoon flights between st. petersburg and charlotte
atis_airfare	 get saturday fares from washington to toronto
atis_flight	 i need a flight from las vegas to ontario
atis_flight	 find flight from houston to memphis on friday
atis_airline	 which airline is us
atis_flight	 i want to fly from san francisco to milwaukee and from milwaukee to denver
atis_flight	 list direct flights from new york city to los angeles after 10 am
atis_airfare	Can anyone help me find the lowest price tickets from Jacksonville to Seattle on air.
atis_airfare	What's the fares from Miami-Cleveland for next day flights?
atis_ground_service	Would you take a taxi to the Tacoma airport?
atis_airline	Which airlines fly between Toronto and San Diego?
atis_ground_service	What is the best rail access from DCA to Washington D.C.?
atis_flight	 show me flight us 1500 on monday from charlotte to minneapolis please
atis_ground_service	Now show me ground transportation in Houston on monday afternoon on thursday evening on thursday and then on tuesday morning, show me road transportation.
atis_ground_service	Does tacoma airport offer transportation from the airport to the downtown area?
atis_flight	 i would like a flight traveling one way from phoenix to san diego on april first
atis_airfare	Which is the budget fare from Bruins to Salt Lake City?
atis_flight	 i need information on flights from toronto to san diego
atis_abbreviation	What is fare code h?
atis_ground_service	What is the ground transportation in Denver?
atis_flight	 give me the cheapest round trip flights from indianapolis to orlando around december twenty fifth
atis_flight	 which flights are available from tacoma to san jose in the morning on april twenty second
atis_ground_service	What is the best ground transportation in Baltimore?
atis_flight	 find flight from san jose to houston on wednesday
atis_abbreviation	 what does ua mean
atis_flight	 show me all the flights from charlotte to minneapolis on tuesday morning
atis_flight	 i need a flight from ontario to memphis
atis_flight	 list all us air flights arriving in charlotte on saturday at 1 pm
atis_ground_service	What's the ground transportation in the delhi city?
atis_airfare	What is the most expensive way to get from boston to salt lake city?
atis_ground_service	 what ground transportation is available between dca and downtown washington
atis_airfare	how much flights do you like and what is the cost to fly from detroit to St. Petersburg?
atis_flight	 which flights are available from san jose to nashville leaving in the morning on april twenty three
atis_flight	 baltimore to kansas city economy
atis_airline	What are the best airlines to fly from Denver to westchester counties?
atis_flight	 i want to fly from milwaukee to los angeles
atis_abbreviation	What is fare code?
atis_airfare	 what is the airfare for a round trip first class ticket from detroit to st. petersburg
atis_ground_service	What is taxi service at Toronto Airport?
atis_flight	 what are the flights from memphis to las vegas
atis_flight	 show me the first class and coach flights from jfk to miami
atis_flight	 show me flights from phoenix to fort worth
atis_flight	 what is the shortest flight from milwaukee to long beach
atis_flight	 list a flight from toronto to san diego
atis_airfare	cheapest roundtrip fare from or indianapolis to orlando on December twenty fifth.
atis_flight	 i would like flights leaving from milwaukee to orlando
atis_abbreviation	What does AK 57 really mean?
atis_airline	List airlines flying from seattle to salt lake city. I have 768 flights per month!
atis_flight	 please list all flights from nashville to memphis on monday morning
atis_airfare	 give me the fares for round trip flights from cleveland to miami next wednesday
atis_flight	 show me all lufthansa flights from seattle to boston with stopovers in minneapolis
atis_flight	 how many northwest flights leave washington dc
atis_flight	 kansas city to cleveland flight arrive wednesday before 5 pm
atis_flight	 list flights from las vegas to san diego
atis_flight	 list evening flights from tampa to cincinnati
atis_abbreviation	What does fare code mean?
atis_flight	 which flights travel from kansas city to los angeles on april ninth
atis_flight	 list flights from memphis to miami wednesday evening
atis_airline	 which airlines fly from baltimore to san francisco
atis_abbreviation	 what does m mean
atis_flight	 give me the flights from seattle to chicago that have meals on continental saturday morning
atis_flight	 i need a flight from new york to los angeles on saturday evening on us air
atis_flight	 show me flights from milwaukee to orlando one way
atis_ground_service	What's the ground transportation in westchester county?
atis_abbreviation	 what is a d9s
atis_ground_service	 what is the ground transportation between the charlotte airport charlotte airport and downtown charlotte
atis_flight	 i need a flight from milwaukee to seattle
atis_flight	 atlanta to st. louis tuesday before 230 pm flights
atis_flight	 i would like flights from san diego to las vegas
atis_ground_service	What are the best ground transportation services in Denver?
atis_ground_service	Ground transportation for las vegas.
atis_airfare	How do I get fares from New York to Toronto?
atis_airfare	how can I book a bus from nashville to seattle (less than 24 hours)?
atis_airline	What airlines fly between New York and Columbia on average?
atis_flight	 i would like flights leaving san francisco to san diego
atis_ground_service	 ground transportation for las vegas
atis_airline	 what airlines fly from baltimore to san francisco
atis_ground_service	What is the best ground transportation to and from Phoenix Airport?
atis_ground_service	 what ground transportation is available between phoenix airport and downtown phoenix
atis_ground_service	What are the top 5 cheap flights to Salt Lake City to the Salt Lake City airport?
atis_flight	 i'd like to book a flight from cincinnati to new york city on united airlines for next saturday
atis_flight	 list all flights arriving in denver between 8 and 9 pm
atis_ground_service	 i need to rent a car at tampa
atis_abbreviation	What does UAW signifie?
atis_airfare	 how much does it cost to fly from columbus to st. louis round trip on twa
atis_flight	 can you find me a flight from salt lake city to new york city next saturday before arriving before 6 pm
atis_flight	 show flights wednesday evening from st. louis to burbank
atis_airline	What airline is as a city and for whom?
atis_flight	 what is the shortest flight from milwaukee to st. petersburg
atis_flight	 list the flights from denver to westchester county on june seventh
atis_ground_service	How many airlines fly from La Liga to New York City as ground transportation depends on the number of flights?
atis_flight	 please list flights from san francisco to milwaukee
atis_flight	 which round trip flights leave chicago next tuesday around 6 pm and arrive in detroit
atis_airfare	Show me the cost of a ticket to the airport from Detroit to Las Vegas?
atis_flight	 list flights from seattle to salt lake city on delta l10
atis_flight	 i want to fly from washington dc to phoenix arizona
atis_airfare	I need a ticket from nashville tennessee to seattle. I need a ticket from nashville tennessee to seattle.
atis_airfare	Show me the cheapest round trip fare from san francisco to Houston on February 20th 1994?
atis_airline	Which airline kwa is?
atis_airline	Which airline to choose?
atis_flight	 find nonstop flights from salt lake city to new york on saturday april ninth
atis_flight	 list flights between phoenix and las vegas
atis_flight	 show me the flights from detroit to las vegas
atis_flight	 list us air flights leaving saturday from charlotte airport at 1 pm
atis_ground_service	What is the transportation option from Elkhart to New York City by the United States?
atis_flight	 list flights between pittsburgh and milwaukee
atis_flight	 i would like a flight from detroit to st. louis
atis_flight	 charlotte to baltimore on tuesday
atis_flight	 find flight from detroit to san diego on tuesday
atis_flight	 get flights from milwaukee to dtw
atis_flight	 miami to cleveland sunday afternoon
atis_abbreviation	What does fare code mean in india?
atis_airfare	What is the cheapest fare from Washington D.C. to Vancouver?
atis_airline	What airline are hp and it?
atis_flight	 show delta airlines from boston to salt lake
atis_flight	 tampa to charlotte sunday morning
atis_airfare	Get saturday fares from washington to toronto. get prices below.
atis_airfare	Show me the cheapest round trip fares from houston to boston. all of the above are shown on my ticket.
atis_flight	 i would like a morning flight from charlotte to newark
atis_flight	 i need a flight from washington dc to san diego
atis_flight	 list flights from las vegas to denver
atis_flight	 i would like to return from chicago around 7 pm to kansas city
atis_flight	 i need flight information for a flight departing from cleveland to milwaukee wednesday after 6 pm
atis_flight	 show me round trip flights from burbank to tacoma
atis_flight	 show me the cheapest one way flights from montreal to orlando
atis_flight	 i'd like a flight to san diego from washington dc
atis_flight	 what are the american flights from newark to nashville
atis_flight	 show me all the flights from burbank to milwaukee
atis_flight	 list flights from indianapolis to memphis on monday
atis_flight	 i need a sunday flight from tampa to charlotte
atis_airline	I want an airline that flies toronto Detroit and St. Louis. I want both, i would like to travel to Chicago.
atis_airfare	 how much is coach flight from pittsburgh to atlanta
atis_abbreviation	 what does hp stand for
atis_abbreviation	What does ap 20 mean?
atis_airline	Which airlines fly from Las Vegas to New York City?
atis_airfare	How much do you think the LIVE round trip coach fare is for one trip from Las Vegas to Detroit?
atis_airfare	What is the best first class round trip airfare from India indianapolis to Mexico?
atis_flight	 list the flights from cleveland to memphis
atis_airfare	Where is the cheapest one way fare from my hometown indianapolis to my hometown of Orlando?
atis_ground_service	Show me ground transportation that I could get in boston late night.
atis_flight	 please find a flight from san diego to toronto on alaska airlines
atis_flight	 which flights go from milwaukee to tampa and stop in nashville
atis_flight	 show me weekday flights from milwaukee to orlando one way
atis_flight	 i need information on flights between st. petersburg and charlotte
atis_flight	 list all flights from nashville to cleveland on sunday
atis_airfare	What is the cheapest flight fare from washington DC to boston?
atis_flight	 are there any flights on june tenth from burbank to tacoma
atis_abbreviation	What does the restriction of AAP58 mean?
atis_ground_service	Is there any ground transportation facility in St. Louis?
atis_flight	 list flights from st. paul to kansas city friday in the evening with a meal included
atis_airfare	Can anyone tell me the cheapest one way fare from San Francisco to Houston for a flight from San Francisco to Houston on february twenty eight 1994?
atis_flight	 i need a flight from indianapolis to seattle arriving in seattle at 1205 pm
atis_flight	 list flights from houston to milwaukee friday pm
atis_abbreviation	What is a tpa and what is TPA?
atis_flight	 st. louis to st. paul thursday after 10 am
atis_airline	What flights off from love field between 6 and 10 am on June 6th?
atis_airfare	What's the estimated cost of airfare for a coach from detroit to St. Petersburg?
atis_airfare	How much one way fare from Chicago to Orlando it is on Dec. 23, 2016?
atis_flight	 show me the cheapest round trip between st. petersburg and detroit that arrives before 7 pm
atis_abbreviation	What are Fare codes?
atis_flight	 and a flight from st. louis to burbank that leaves tuesday afternoon
atis_flight	 i need to take a united airlines flight on june eighth from westchester county to cincinnati after 3 pm
atis_flight	 list flights from philadelphia to atlanta friday am
atis_ground_service	I like ground transportation in Phoenix. Show me is good, really!
atis_ground_service	Is st louis airport ground transportation available?
atis_ground_service	 what ground transportation is available from la guardia airport into new york city
atis_airfare	i'd like a one way ticket from milwaukee to orlando either wednesday evening or thursday morning. if i'd like a one way ticket, what time would I get it?
atis_flight	 what is the latest breakfast flight from dallas to tampa
atis_airfare	How much airline travel is there between pittsburgh and Cleveland under $200?
atis_ground_service	What are the air transportation options at Phoenix Airport?
atis_flight	 show me flights from columbus to chicago first class that leave before 10 am
atis_airfare	 i need the fares on flights from washington to toronto on a saturday
atis_airline	Which airline is as a passenger-as per passenger requirements?
atis_flight	 list a flight on delta airlines from toronto to san diego
atis_flight	 please find a flight from newark to orlando
atis_airfare	I'd like a one way ticket from milwaukee to orlando either wednesday evening or thursday morning. I'd like a one way ticket.
atis_airline	What airlines fly into Denver?
atis_airfare	 list fares from washington dc to toronto that should be good
atis_flight	 which flights travel from cleveland to indianapolis on april fifth
atis_ground_service	What are the best ground transportation options to go to pittsburgh airport?
atis_airfare	 get fares from washington to boston
atis_ground_service	What is the ground transportation in Westchester county?
atis_flight	 how many flights does northwest have leaving dulles
atis_flight	 milwaukee to phoenix on saturday
atis_airline	Is dl a good airline or not?
atis_flight	 list flights from memphis to miami on wednesday
atis_abbreviation	 what the abbreviation us stand for
atis_airline	What airline is HP?
atis_airline	What is the best airline to fly from San Diego to Boston from their base?
atis_airfare	 list airfares for first class round trip from detroit to st. petersburg
atis_flight	 i need a flight leaving kansas city to chicago leaving next wednesday and returning the following day
atis_ground_service	 is there ground transportation available at the phoenix airport
atis_airline	What airlines can you name, on what date is yx?
atis_flight	 show flights from st. petersburg to charlotte
atis_flight	 i need information on flights from indianapolis to seattle
atis_flight	 show me one way flights from milwaukee to orlando on wednesday
atis_airfare	How should I buy tickets from Baltimore to Seattle?
atis_ground_service	What is the cost of airport shuttle service between Milwaukee Airport and downtown Milwaukee?
atis_flight	 i need a flight on friday afternoon in june from new york to cleveland
atis_abbreviation	 what is 73s
atis_airline	 what airline is aa
atis_flight	 show flights from orlando to kansas city
atis_flight	 i'd like to travel from kansas city to chicago next wednesday
atis_flight	 las vegas to baltimore economy
atis_flight	 what are the flights on thursday leaving from st. paul minnesota to st. louis
atis_flight	 which flights travel from las vegas to los angeles california and arrive on april ninth between 4 and 5 pm
atis_airline	What airlines fly into Denver?
atis_abbreviation	 what does fare code bn mean
atis_flight	 what's the cheapest flight from columbus to st. louis round trip on twa
atis_flight	 show me the connecting flights between boston and denver and the types of aircraft used
atis_airfare	How much cheaper is a 1 day roundtrip from New York to Orlando.
atis_airline	What airline is based in Asia?
atis_flight	 i want a flight from toronto to san diego
atis_airline	 is there one airline that flies from burbank to milwaukee milwaukee to st. louis and from st. louis to burbank
atis_flight	 list delta flights from seattle to salt lake city with aircraft type
atis_abbreviation	What does fare code mean?
atis_airline	 which airlines fly between toronto and san diego
atis_flight	 show me all round trip flights from new york to miami nonstop
atis_flight	 list flights from chicago to san diego
atis_flight	 list flights from denver to phoenix
atis_flight	 which flights arrive in burbank from kansas city on saturdays in the afternoon
atis_airline	What is Hp 777?
atis_flight	 list flights from orlando to tacoma on saturday of fare basis code of q
atis_airline	What are airlines that fly from Las Vegas to New York?
atis_airfare	 show me the cheapest round trip fares from san francisco to houston
atis_airfare	How much does it cost to fly from columbus to st louis?
atis_airfare	What is the cheapest flight from Boston to Salt Lake?
atis_flight	 i need a friday flight from newark to tampa
atis_airfare	What is the cheapest way to fly between NYC and Boston, DC?
atis_flight	 which flights depart from a atlanta and arrive in toronto
atis_flight	 i want to fly from indianapolis to seattle round trip with the cheapest fare
atis_abbreviation	What does the UAA actually mean?
atis_airline	What airline is Aaa?
atis_airfare	How much cheaper is the fare from indianapolis to Orlando on the twenty seventh of December 2017?
atis_airfare	 how much does it cost to fly on twa from columbus to milwaukee
atis_ground_service	What type of ground transportation is there in Las Vegas airport?
atis_flight	 i need a flight from milwaukee to washington dc on monday night
atis_airline	What airline is samsung's carrier?
atis_ground_service	Ground transportation for LA, vegas, arizona, mexico.
atis_flight	 i need a flight from cleveland to dallas that leaves before noon see if too much information
atis_flight	 list a flight on american airlines from toronto to san diego
atis_flight	 find a flight between st. petersburg and charlotte the flight should leave in the afternoon and arrive as soon after 5 pm as possible it should be a nonstop flight
atis_flight	 i would like to fly from columbus to phoenix through cincinnati in the afternoon
atis_flight	 give me a flight from charlotte to baltimore on tuesday morning
atis_flight	 how many northwest flights leave st. paul
atis_airfare	 show me the cost of a first class ticket from detroit to las vegas and back
atis_flight	 phoenix to milwaukee on sunday
atis_flight	 what flights leave cleveland going to indianapolis on april twenty first in the morning
atis_airfare	How much is the flight from Pittsburgh to Atlanta?
atis_flight	 what's the cheapest flight from san francisco to denver
atis_flight	 how about flights from milwaukee to washington dc on tuesday mornings
atis_flight	 list flights from dallas to houston arriving sunday afternoon
atis_flight	 i would like information on flights leaving from washington dc to denver
atis_airline	What is the official Airline of the US?
atis_flight	 does this flight serve dinner
atis_flight	 show me a return flight from miami to jfk please
atis_airfare	get saturday fares from washington to toronto. get a weekend fares from youtube.
atis_flight	 what are the flights from st. louis to charlotte north carolina leaving on friday
atis_flight	 what are the flights from la guardia to san jose on united
atis_airfare	What is the cheapest one way fare from San Francisco to Houston?
atis_airfare	I have all the airfares from washington toronto available that day, so I'm looking for this fares. the flight details will be revealed on saturday, so I don't miss out on a week of flights, just in case.
atis_airline	 which airline is us
atis_flight	 from milwaukee to orlando one way after 5 pm wednesday
atis_airfare	How do I get the cheapest ticket between LA to DFW?
atis_flight	 please find a flight from kansas city to newark
atis_flight	 please give me the flights from kansas city to chicago on june sixteenth
atis_flight	 find me a flight from cincinnati to any airport in the new york city area
atis_ground_service	What is the best ground transportation system from Austin to Dallas?
atis_flight	 what are the flights on mondays that travel from charlotte north carolina to phoenix arizona
atis_ground_service	What are good public transportation options between Phoenix airport and downtown Phoenix?
atis_airline	Whose airline is US?
atis_abbreviation	What is Fare code FEE?
atis_abbreviation	What is the food code sb?
atis_flight	 please find a flight round trip from los angeles to tacoma washington with a stopover in san francisco not exceeding the price of 300 dollars for june tenth 1993
atis_airline	Which airline is HP?
atis_airline	What airline is yx?
atis_flight	 houston to dallas before midnight
atis_flight	 please list only the flights from cleveland to dallas that leave before noon
atis_airfare	 get saturday fares from washington to boston
atis_flight	 list all flights on all types of aircraft arriving in denver between 8 and 9 pm
atis_flight	 i need a flight on united airlines from la guardia to san jose
atis_flight	 i would like to find a flight from charlotte to las vegas that makes a stop in st. louis
atis_ground_service	I’m going to find me a good place to meet for ground transportation from houston to carolina. will you see me today?
atis_flight	 list the alaska airline flights from burbank to anywhere
atis_flight	 i'd like a flight from cincinnati to newark airport that arrives on saturday before 6 pm
atis_flight	 which flights depart from toronto and arrive in washington dc
atis_flight	 which round trip flights leave chicago next tuesday and arrive in detroit around 6 pm
