intent	dialog
atis_flight	 flights newark to los angeles wednesday morning
atis_airline	Which airline is a U.S. Airline?
atis_ground_service	 please list the ground transportation from lga into new york city
atis_flight	 flights from washington to seattle
atis_flight	 list flights from miami to indianapolis on sunday
atis_abbreviation	What is a CVG? What is the definition of an CVG?
atis_airline	What airline routes operate between detroit and westchester counties?
atis_airfare	Get saturday fares from washington to boston. Get saturday flights for long haul.
atis_flight	 show me a one way flight from milwaukee to orlando leaving wednesday afternoon after 6 pm
atis_abbreviation	What is CVG?
atis_airfare	How much does it cost to fly from copenhagen to St Louis per round trip?
atis_flight	 what are the flights from ontario to memphis
atis_flight	 what flights are there between washington dc and columbus ohio
atis_flight	 chicago to las vegas saturday morning
atis_airfare	How much does it cost to fly from columbus to milwaukee?
atis_flight	 give me the flights from phoenix to milwaukee on wednesday on american airlines
atis_airfare	 what are the fares for flights between boston and washington dc
atis_abbreviation	 what does ap 57 mean
atis_flight	 what are the nonstop flights between san jose and houston texas
atis_flight	 i need a flight from salt lake city to phoenix departing wednesday after 5 pm
atis_abbreviation	What is 73s?
atis_abbreviation	 what does fare code bh mean
atis_flight	 list the flights on canadian airlines international
atis_abbreviation	What is fare code and how it works?
atis_abbreviation	What does Fare code Qo mean?
atis_abbreviation	Which smartphone is the D9S?
atis_flight	 show me the flights on american airlines which fly from st. petersburg to ontario canada with a stopover in st. louis
atis_airline	What airlines are dlc?
atis_flight	 what are the flights from tacoma to miami that leave after 6 pm tomorrow
atis_abbreviation	What does not SAS mean?
atis_airfare	On an one way ticket from milwaukee to orlando either wednesday evening or thursday morning. what's in it for you?
atis_flight	 list the flights from cincinnati to denver on june sixth
atis_flight	 show me the flights between pittsburgh and washington dc
atis_airfare	 list fares from washington dc to montreal
atis_airfare	cheapest fare from Cleveland to Orlando on the twenty-seventh of december.
atis_airfare	What is the right flight from pittsburgh to cleveland under 200 dollars?
atis_ground_service	Ground transportation in Las Vegas.
atis_ground_service	 and now show me ground transportation that i could get in boston late night
atis_flight	 show me round trip flights from orlando to montreal
atis_flight	 list all flights leaving denver between 8 pm and 9 pm
atis_ground_service	What is the best ground transportation available from dallas fort worth airport to downtown dallas?
atis_flight	 list flights from oakland to salt lake city
atis_flight	 i'd like to fly from san diego to houston on june tenth
atis_airfare	get the saturday fare from washington to Toronto to go back up to north side. get the Saturday fare from newark to new york. get the Saturday fare from newark to new york. get the Saturday fare from newark to go up to nyc.
atis_airfare	 cheapest fare from indianapolis to orlando on the twenty seventh of december
atis_flight	 what is the earliest flight between baltimore and oakland that serves breakfast
atis_flight	 show me the cheapest economy flights from miami to new york
atis_abbreviation	What is a D9 or D9s?
atis_airfare	What are the best flights from Washington DC to Toronto?
atis_flight	 i need a flight from san francisco to milwaukee on monday morning
atis_flight	 which flights travel from nashville to tacoma
atis_airfare	On april 2nd i need a ticket from TATAWAY to SANO COSTOS departing before 7 am. 1 month later. On an August date the ticket will be $440. 1st i need a ticket from Seattle to San jose departing before 7 am. 1st i can post online.1st i must rebook the ticket and pay $65 for it. 1st i need a ticket to San jose.1 on September 2nd i
atis_airline	 which airline is as
atis_flight	 show me all delta airlines flights from montreal to orlando
atis_flight	 now show me the cheapest one way flight from houston to boston
atis_airline	 list airlines flying from seattle to salt lake city
atis_flight	 i would like an early morning flight today from los angeles to charlotte
atis_flight	 what are the flights from las vegas to ontario
atis_abbreviation	What is MCI?
atis_abbreviation	What does fare codef mean?
atis_flight	 i need flights departing from oakland and arriving salt lake city
atis_flight	 i would like a flight from san francisco to st. petersburg
atis_flight	 list the alaska airline flights from burbank
atis_airline	I would like to have the airline that flies toronto detroit and st. louis.
atis_airline	Which is the airline for us?
atis_flight	 find me all the round trip flights from burbank to milwaukee stopping in st. louis
atis_flight	 what flights go from denver to st. louis on tuesday morning
atis_abbreviation	What are the limitation on ap 57?
atis_airline	Which is the cheapest airline we may use if we want to fly in the US?
atis_flight	 tell me the flights that leave philadelphia and go to dallas
atis_flight	 are there any flights from boston to orlando connecting in new york
atis_flight	 find flights arriving new york city next saturday
atis_flight	 list flights from phoenix to houston
atis_flight	 list saturday flights from washington to boston
atis_flight	 show delta airlines flights from boston to salt lake city
atis_flight	 what are the flights from phoenix arizona to st. paul minnesota on tuesday
atis_abbreviation	What is the d9s?
atis_flight	 round trip flights from orlando to montreal please
atis_flight	 list flights from la to orlando
atis_flight	 i need a flight on american airlines from miami to chicago that arrives around 5 pm
atis_flight	 show me flights from montreal to orlando and long beach
atis_ground_service	What is best way to rent a car in Wisconsin?
atis_airfare	How much is a coach flight from Pittsburgh to Atlanta?
atis_abbreviation	What does the HAP mean?
atis_flight	 please list flights from philadelphia to san francisco
atis_flight	 i would like flights from minneapolis to san diego
atis_airline	What is airline wno?
atis_airline	show me airlines that have flights between toronto and detroit between detroit and st. louis and between st. louis and toronto.
atis_abbreviation	What does fare code mean?
atis_flight	 what are the flights between dallas and phoenix
atis_ground_service	What is the best website for Car Rental in Milwaukee?
atis_flight	 show me the flights between los angeles and dallas
atis_airfare	What would be the cost of a one way flight from Dallas to Las Vegas, NV in a first class ticket?
atis_ground_service	Please show ground transportation to milwaukee, milwaukee thru state. please show to milwaukee any ground transportation to milwaukee from milwaukee, milwaukee or stow. Please explain.
atis_flight	 are there any flights from boston to orlando connecting in columbus
atis_flight	 please list flights from orlando to philadelphia
atis_flight	 cleveland to nashville flight friday morning
atis_airline	What is Airline?
atis_abbreviation	What is PHL?
atis_airline	 what airlines fly into denver
atis_flight	 on sunday evening i would like to leave montreal quebec on a flight to san diego california
atis_flight	 which flights on us air go from orlando to cleveland
atis_flight	 a flight from baltimore to san francisco arriving between 5 and 8 pm
atis_airline	 what airline is as
atis_airfare	I need the fares on flight from washington to toronto on Monday i hope that the above are the best.
atis_airfare	 show me the cheapest round trip fares from houston to boston
atis_flight	 list the flights from westchester county to cincinnati on june eighth
atis_flight	 can you list all of the delta flights from salt lake city to new york next saturday arriving before 6 pm
atis_ground_service	What is the difference between a vehicle delivering to you through air or sea in Denver?
atis_ground_service	 i need to rent a car in milwaukee
atis_abbreviation	What is d9s?
atis_ground_service	 what type of ground transportation is there at the las vegas airport
atis_ground_service	What is the best way to hire a car in Tampa?
atis_airline	What airlines are departing from Boston?
atis_ground_service	 what ground transportation is available from dallas fort worth airport to downtown dallas
atis_flight	 list flights from boston to pittsburgh daily
atis_airfare	 on april first i need a ticket from tacoma to san jose departing before 7 am
atis_flight	 flights from atlanta to seattle
atis_airline	What airlines fly to Denver and what are the best?
atis_flight	 list flights from houston to san jose
atis_airline	 show me airlines that have flights between toronto and detroit between detroit and st. louis and between st. louis and toronto
atis_abbreviation	What does 5years of AOP mean?
atis_flight	 what flights leave from cleveland and go to dallas
atis_flight	 list flights from charlotte on saturday afternoon
atis_airline	What airlines fly from San Francisco to Newport?
atis_abbreviation	What is fare code?
atis_ground_service	 tell me about the ground transportation from nashville airport
atis_airline	Which airline is us?
atis_flight	 i would like a flight from orlando to salt lake city for april first on delta airlines
atis_flight	 i'd like a red eye flight from new york to los angeles on saturday evening on us air
atis_airfare	Which is the cheapest flight fare from Charlotte to Las Vegas?
atis_airline	What airlines fly from Boston to San Diego?
atis_ground_service	What type of ground transportation is there at the las vegas airport?
atis_abbreviation	What is the fare codef in the ACT?
atis_flight	 show me flights between detroit and st. louis on delta northwest us air and united airlines
atis_flight	 i need a nonstop flight from toronto to st. louis
atis_flight	 i need a morning flight from burbank to milwaukee on next monday
atis_flight	 i need a flight from memphis to seattle
atis_airline	 which airline is kw
atis_airfare	 what is the first class round trip airfare from india indianapolis to memphis
atis_airfare	 what is the most expensive one way fare between detroit and westchester county
atis_airline	Which airline is US?
atis_flight	 list flights from washington dc to montreal
atis_flight	 list flights from washington dc to philadelphia saturday pm
atis_abbreviation	 what does fare code f mean
atis_flight	 i need an early flight from milwaukee to denver
atis_airline	 what airline is hp
atis_flight	 show me the flights between oakland and salt lake city
atis_flight	 list saturday flights from boston to washington
atis_flight	 st. paul to kansas city friday night
atis_flight	 like to book a flight from burbank to milwaukee
atis_flight	 show me the delta flights which serve a snack to coach passengers
atis_flight	 list the flights from cincinnati to westchester county on june sixth
atis_flight	 list american airlines flights from milwaukee to san jose wednesday
atis_airline	What is aac or what airline is It?
atis_flight	 newark to tampa on friday
atis_airline	What airline is YX?
atis_flight	 what is the latest flight from baltimore to oakland that serves dinner
atis_flight	 what's the cheapest flight from san francisco to milwaukee
atis_airfare	get Saturday fares from detroit to boston. get saturday fares from detroit to boston. get saturday fares from washington to boston.
atis_flight	 list all flights arriving in denver between 8 and 9 pm
atis_abbreviation	What do you mean by ap 57 mean in Nepal?
atis_abbreviation	 what does not sa mean
atis_flight	 show me nonstop flights from kansas city to phoenix
atis_flight	 now show me one way flights from houston to boston
atis_flight	 list flights from toronto to washington dc saturday am
atis_airfare	What is the cheapest way to travel from Las Vegas to Detroit on a coach?
atis_flight	 does us air fly from cincinnati to denver on june sixth
atis_flight	 show me the flights from minneapolis to indiana
atis_flight	 on wednesday april sixth i would like to fly from long beach to columbus after 3 pm
atis_flight	 give me the meal flights departing early saturday morning from chicago to seattle nonstop
atis_abbreviation	 what does fare code bh mean
atis_flight	 get flights from detroit to toronto
atis_flight	 show me round trips between montreal and orlando
atis_abbreviation	 what does fare code bh mean
atis_airline	What is the best airline to fly from Salt Lake City to Seattle?
atis_ground_service	 please show ground transportation to milwaukee
atis_flight	 list flights from la guardia to burbank
atis_airline	is there one airline that flies from Burbank to milwaukee milwaukee to st. louis and from st. louis to burbank?
atis_airline	 what airline is yx
atis_ground_service	What is the best amount of ground transportation to get from Atlanta to Denver airport?
atis_flight	 now show me all the round trips from new york to miami
atis_ground_service	 is there taxi service at the ontario airport
atis_airfare	What's the least expensive airport fare from Toronto (UK) to Washington DC?
atis_flight	 show flights from kansas city to orlando
atis_flight	 show me all of the daily flights arriving in denver between 8 pm and 9 pm
atis_flight	 is there an american airlines flight from houston to newark on june tenth after 3 pm
atis_flight	 list all flights from cleveland to kansas city on monday
atis_airfare	Which airlines offer round trip airfare in san diego?
atis_airfare	How good are the fares from Washington DC to Montréal?
atis_flight	 i'd like to book two flights to westchester county
atis_flight	 show me round trip flights from chicago to detroit leaving next tuesday and returning the day after
atis_flight	 please find a flight that goes from kansas city to newark to orlando back to kansas city
atis_flight	 i need a daily flight from st. louis to milwaukee
atis_airfare	Where do I order a first class ticket from Detroit to St. Petersburg?
atis_airline	What airline is as a service?
atis_flight	 i need information on flights from washington to boston that leave on a saturday
atis_airfare	HELP ME SHOW ME THE LOWEST round trip fare from San Francisco to Houston on february twenty eight 1994.
atis_flight	 show me all flights from san jose to phoenix
atis_flight	 list flights from washington dc to montreal
atis_flight	 what are the flights from boston to orlando that stop in new york
atis_flight	 i would like a flight from cincinnati to burbank on american
atis_ground_service	Is there plane ticketing or bus service available to take you to the airport in denver?
atis_ground_service	 ground transportation in las vegas
atis_flight	 cleveland to kansas city arrive monday before 3 pm
atis_flight	 please find a flight from las vegas to michigan
atis_airfare	Which is the best flight from Charlotte to Las Vegas?
atis_ground_service	Is there any ground transportation available at the Indianapolis airport?
atis_flight	 list flights from miami to indianapolis sunday
atis_ground_service	Show me ground transportation in Houston on monday evening. now show me ground transportation in Tampa on monday afternoon.
atis_airline	Which airline flies from Boston to San Diego?
atis_airfare	What are the fares for flights between boston and washington DC?
atis_flight	 show flights tomorrow evening from milwaukee to st. louis
atis_flight	 show me the direct flights from charlotte to minneapolis on tuesday morning
atis_flight	 show me the flights from indianapolis to memphis
atis_flight	 what's the cheapest flight from san francisco to detroit today
atis_airline	Which airline is the HPC?
atis_abbreviation	Is post-20 an apt term?
atis_flight	 which flights are available from orlando to cleveland that arrive around 10 pm
atis_flight	 i need a flight from oakland to salt lake city on wednesday departing after 6 pm
atis_flight	 what is the earliest daily flight between oakland and salt lake city
atis_flight	 i want a flight from montreal to washington dc
atis_ground_service	Show me ground transportation in Fort Worth.
atis_ground_service	 now show me ground transportation in houston on monday afternoon
atis_flight	 i'd like to go from long beach to st. louis and i'd like to stop in dallas i'd also like to have lunch during my flight
atis_flight	 i'd like flights from new york to miami
atis_flight	 please find the flights from columbus to houston with a layover in nashville tomorrow
atis_airline	What airline is DLDL (Djl)?
atis_flight	 show me the flights from orlando to houston
atis_flight	 i would like flights from miami to new york
atis_flight	 los angeles to minneapolis thursday afternoon
atis_airfare	Where can I find flights between DC to Salt Lake City?
atis_ground_service	 is there ground transportation available at the denver airport
atis_flight	 please list flights from milwaukee to philadelphia
atis_flight	 i would like to see flights from cincinnati to salt lake city
atis_airline	What airline is HP?
atis_airfare	 show me the cheapest round trip fare from san francisco to houston on february twenty eighth 1994
atis_flight	 i want a flight from nashville to seattle that arrives no later than 3 pm
atis_ground_service	Can you give a taxi at Ontario airport to a local?
atis_airfare	Will you give me the fares from Orlando to Cleveland next Sunday?
atis_ground_service	What are the best ways to travel between Phoenix airport and Downtown Phoenix?
atis_airline	 what airline is hp
atis_airline	What airlines fly to and from Detroit?
atis_ground_service	What is the best airport to fly to at Salt Lake City, CA?
atis_flight	 i'd like to travel from burbank to milwaukee
atis_flight	 i need a flight from kansas city to minneapolis
atis_flight	 first class flights pittsburgh to newark monday morning
atis_airline	List airline tickets from Seattle to Salt Lake City.
atis_flight	 give me the round trip flights from cleveland to miami next wednesday
atis_flight	 on thursday morning i would like a nonstop flight from indianapolis to toronto
atis_flight	 show me the flights from houston to orlando
atis_airfare	I need to buy flights from Baltimore to Toronto on the saturday. I need a good fares on the train from Paris to Miami. I travel from Toronto to Washington since I have two or three saturdays. I need to buy airline tickets for these flights.
atis_abbreviation	What is meal code sb?
atis_abbreviation	What is TPA?
atis_airfare	How much a day does it take to drive from the hub of the U.S. to Montréal?
atis_flight	 what are the flights between memphis and cincinnati on wednesday
atis_ground_service	 please list ground transportation from ewr into new york city
atis_flight	 list delta flights from seattle to salt lake city
atis_airline	What airlines serve Denver and offer better services?
atis_airfare	navara and toronto to detroit delta northwest united & delta northwest us air travel todo and back. show me round trip fares.
atis_flight	 i need a flight from denver to salt lake city on monday
atis_flight	 what are the flights from tacoma to san jose
atis_flight	 show me round trip flights from burbank to seattle
atis_ground_service	 what types of ground transportation are available in denver
atis_flight	 what flights go from long beach to st. louis
atis_flight	 show me the flights between houston and orlando
atis_flight	 show me all the flights from indianapolis to charlotte on monday
atis_airfare	 i'd like a one way ticket from milwaukee to orlando either wednesday evening or thursday morning
atis_flight	 i'd like a morning flight from newark to los angeles
atis_airfare	 list the cheapest fare from charlotte to las vegas
atis_airfare	How much first class airfare is available a day in advance from Chicago or Chicago, Mississippi?
atis_airline	What are the different airlines flying from Las Vegas to New York City?
atis_airfare	How do I get a flight from Washington DC to Boston?
atis_flight	 show flights from burbank to st. louis on monday
atis_flight	 which flights travel from indianapolis to san diego on april fifth
atis_ground_service	What is the best taxi service between Millaukee airport and downtown milwaukee?
atis_flight	 i need to fly from st. louis to milwaukee on wednesday afternoon
atis_flight	 show me nonstop flights from montreal to orlando
atis_flight	 can i get the shortest flight from milwaukee to orlando
atis_flight	 i would like flights from salt lake city to cincinnati
atis_flight	 after 12 pm on wednesday april sixth i would like to fly from long beach to columbus
atis_abbreviation	What is a fare code?
atis_abbreviation	What does fare code bh mean in short form?
atis_airline	 which airline is us
atis_airfare	How much in advance is the best plan for a olympic round trip flight from Detroit to St. Petersburg?
atis_flight	 what is the shortest flight from milwaukee to long beach
atis_flight	 give me the flights from pittsburgh to los angeles thursday evening
atis_airline	Which airlines fly from/to Denver?
atis_flight	 dallas to houston after 1201 am
atis_airline	What is hp?
atis_abbreviation	 what is cvg
atis_airline	 what airline is as
atis_flight	 list flights from washington dc to pittsburgh leaving after 1800
atis_flight	 los angeles to pittsburgh afternoon on monday
atis_flight	 list the flights from denver to cincinnati on june sixth after 4 pm
atis_ground_service	Which is the best ground transportation from lga to new york city?
atis_flight	 is there an american airlines flight from houston to newark on june tenth after 6 pm
atis_flight	 which flights leave on monday from montreal and arrive in chicago in the morning
atis_flight	 list american airlines flights from houston to milwaukee departing friday pm
atis_flight	 are there any flights between dallas and phoenix using a dc10 aircraft
atis_flight	 chicago to seattle saturday morning
atis_airline	Which airline is HP?
atis_flight	 list philadelphia to san francisco flights with stopovers in dallas
atis_ground_service	If they want to transfer you to Wisconsin by ground transportation please show this detail by email in advance.
atis_abbreviation	 what does q mean
atis_abbreviation	What does a fare code bh mean?
atis_abbreviation	"What is ""fares code""?"
atis_abbreviation	What does fares code mean?
atis_ground_service	 show me ground transportation in phoenix
atis_abbreviation	 what does fare code f mean
atis_ground_service	What is the transportation from Texas Fort Worth Airport to downtown dallas?
atis_abbreviation	What do fare codes and promo codes mean?
atis_flight	 i would like a connecting flight from dallas to san francisco leaving after 4 o'clock
atis_abbreviation	What is a 73s?
atis_flight	 i want to fly from nashville to seattle and i want the cheapest fare round trip
atis_airline	 what airlines serve denver
atis_abbreviation	 what are restrictions ap 57
atis_flight	 show me the cheapest one way flights from orlando to montreal
atis_flight	 get first flight from oakland to salt lake city on thursday
atis_airline	What airlines off from love field between 6 and 10 am on June 6th?
atis_airfare	How much does it cost to buy a First Class ticket from Detroit to Las Vegas?
atis_airfare	How much does it cost to fly on two-way (UTWY) flights from Columbus to Milwaukee?
atis_airline	What airline is as per what is?
atis_airfare	 show me round trip fares from toronto to detroit on delta northwest us air and united airlines
atis_airfare	How much does a Saturday fares from Washington to Montreal — or at least cheap saturday trips — run?
atis_flight	 what is the earliest arriving flight from houston to orlando
atis_flight	 list all flights from memphis to miami
atis_airline	 list airlines that fly from seattle to salt lake city
atis_airline	Which airlines fly from Tampa to San Francisco?
atis_flight	 which flights leave on wednesday april thirteenth from indianapolis and arrive in montreal in the morning
atis_flight	 list wednesday night flights from oakland to salt lake city
atis_airfare	What are the possible fares to pick up from Cleveland to Miami for a one-day flight next week?
atis_abbreviation	What is tpa and what are its functions?
atis_airline	Which is Kwi-Mankas Airlines Limited in India?
atis_flight	 show me nonstop flights from toronto to st. petersburg
atis_airfare	What is the most expensive one way fare between Detroit and Westchester?
atis_flight	 i want a flight round trip from memphis to seattle
atis_flight	 list early evening flights from tampa to cincinnati
atis_flight	 i would like to fly from orlando to kansas city
atis_flight	 get flights between st. petersburg and charlotte
atis_flight	 list last wednesday flight from oakland to salt lake city
atis_abbreviation	What does fare code mean?
atis_ground_service	Is there any car rental service in Washington DC?
atis_airfare	How will the plane fare from Kolkata to Salt Lake City be?
atis_flight	 give me the saturday morning flights on continental that have meals from chicago to minneapolis
atis_airline	 list the airlines with flights to or from denver
atis_flight	 show me the first class and coach flights between jfk and orlando
atis_airfare	How much difference does it make in the number of days from San Francisco to Houston for the average trip of 2 years?
atis_airfare	What is the airfare for a round trip first class ticket from Detroit to St. Petersburg?
atis_flight	 on tuesday are the flights from san diego california to indianapolis indiana i would like the flight to be in the afternoon
atis_airline	 what airline is dl
atis_airfare	 what is the fare for a first class round trip ticket from detroit to st. petersburg
atis_airline	Which airline is hp.com?
atis_airline	What is airline wn?
atis_flight	 list flights from ontario california to orlando florida
atis_ground_service	What's the ground transportation in Westchester County?
atis_flight	 i need a flight from tampa to milwaukee
atis_flight	 list flights from phoenix to las vegas
atis_ground_service	Is there any ground transportation available at the Phoenix airport?
atis_ground_service	Where are taxis available in Toronto?
atis_abbreviation	 what does fare code y mean
atis_flight	 i need a flight from toronto to newark one way leaving wednesday evening or thursday morning
atis_ground_service	In Phoenix, show me ground transportation. How far for me is Phoenix?
atis_flight	 i need a flight that goes from boston to orlando
atis_flight	 show flights from burbank to milwaukee on monday
atis_ground_service	please show ground transportation to milwaukee. Please get back out of Illinois.
atis_airfare	 what is the lowest fare for a flight from washington dc to boston
atis_airfare	 cheapest one way fare from indianapolis to orlando on december twenty seventh
atis_flight	 please list the flights from newark to los angeles
atis_flight	 find flight from phoenix to detroit on monday
atis_flight	 list the flights from denver to baltimore arriving on july first
atis_airfare	 give me the fares from miami to cleveland next sunday
atis_airfare	 what is the lowest fare from washington dc to montreal
atis_flight	 list the flights from memphis to cleveland
atis_abbreviation	What is fare code h and how does it work?
atis_abbreviation	What does not sa mean?
atis_abbreviation	 what does ap 20 mean
atis_flight	 please list all the flights from kansas city to chicago on june sixteenth
atis_flight	 list flights from cincinnati to tampa before noon
atis_airfare	 is there a fare from pittsburgh to cleveland under 200 dollars
atis_flight	 on friday morning i would like to fly from toronto to montreal
atis_flight	 which flights go from cleveland to indianapolis on april fifth
atis_flight	 minneapolis to pittsburgh flight
atis_airfare	I need a ticket from nashville to seattle. can you please contact me?
atis_flight	 i'd like a round trip flight from kansas city to chicago on wednesday may twenty sixth arriving at 7 pm
atis_flight	 show me flight us 1207 from indianapolis to charlotte on monday and flight us 1500 from charlotte to minneapolis on monday and flight twa 639 from minneapolis to indianapolis
atis_flight	 show me flights from milwaukee to orlando
atis_airfare	If you're flying to montreal on Saturday, get a Saturday fares from Washington, DC with American Airways.
atis_ground_service	Underground transport to Las Vegas on a one way basis?
atis_abbreviation	What does the restriction ap58 mean?
atis_ground_service	 what's the ground transportation in westchester county
atis_flight	 kansas city to atlanta monday morning flights
atis_abbreviation	 what is a d9s
atis_abbreviation	What does fare code mean?
atis_flight	 please list all the flights from chicago to kansas city on june seventeenth
atis_flight	 give me the flights from phoenix to milwaukee on american airlines
atis_airline	 what airlines off from love field between 6 and 10 am on june sixth
atis_airfare	 what is the lowest fare from toronto to washington dc
atis_flight	 i want a flight from memphis to seattle that arrives no later than 3 pm
atis_flight	 show me the flights between houston and orlando
atis_airfare	 cheapest fare round trip from indianapolis to orlando on december twenty seventh
atis_flight	 which flights leave april twelfth from indianapolis and arrive in montreal around 10 pm
atis_airfare	What are the fares from washington to Montréal?
atis_flight	 phoenix to milwaukee on wednesday
atis_flight	 list the flights from indianapolis to memphis that leave before noon
atis_flight	 which flights arrive in burbank from las vegas on saturday april twenty third in the afternoon
atis_flight	 show me the morning flights from memphis to new york city
atis_abbreviation	What is FAIRE CODE?
atis_flight	 i'd like a flight from new york to los angeles on saturday morning on us air
atis_airfare	What is the fare for a first class round trip ticket from Detroit to St. Petersburg?
atis_airfare	What are the cheapest round trip plans from San Jose to Austin?
atis_flight	 list all flights departing from seattle
atis_ground_service	what is the ground transportation between the charlotte airport charlotte airport and downtown charlotte?
atis_airfare	What are the airfares for round trip flights from Cleveland to Florida next week?
atis_flight	 show me all the flights from kansas city to st. paul
atis_flight	 list the alaska airlines flights arriving in burbank
atis_airfare	cheapest round trip fare from or indianapolis to orlando on december twenty fifth. cheapest round trip fare from or indianapolis to orlando on december twenty fifth.
atis_ground_service	We need a car hire in tampa, Florida. Where can I rent one?
atis_flight	 give me the flights from milwaukee to phoenix on saturday or sunday on american airlines
atis_airfare	How do I get a flight from Nashville to seattle?
atis_abbreviation	What is CVC G?
